カテゴリ	サブカテゴリ	ディスコグラフィ	リリース
アルバム	インディーズ	astral box	1997
アルバム	インディーズ	GIRLIE	1998
アルバム	メジャー	小さな丸い好日	1999
アルバム	メジャー	桜の木の下	2000
アルバム	メジャー	夏服	2001
アルバム	メジャー	秋 そばにいるよ	2002
アルバム	メジャー	暁のラブレター	2003
アルバム	メジャー	夢の中の真っすぐな道	2005
アルバム	メジャー	彼女	2006
アルバム	メジャー	秘密	2008
アルバム	メジャー	BABY	2010
アルバム	メジャー	時のシルエット	2012
アルバム	メジャー	泡のような愛だった	2014
アルバム	メジャー	May Dream	2016
アルバム	メジャー	湿った夏の始まり	2018
アルバム	メジャー	どうしったって伝えられないから	2021
アルバム	メジャー	今の二人をお互いが見てる	2023
アルバム	メジャー	残心残暑	2024
アルバム	ベスト	まとめⅠ	2011
アルバム	ベスト	まとめⅡ	2011
アルバム	シングルコレクション	Aikoの詩。Disc-1	2019
アルバム	シングルコレクション	Aikoの詩。Disc-2	2019
アルバム	シングルコレクション	Aikoの詩。Disc-3	2019
アルバム	シングルコレクション	Aikoの詩。Disc-4	2019
シングル	インディーズ	ハチミツ	1997
シングル	メジャー	あした	1998
シングル	メジャー	ナキ・ムシ	1999
シングル	メジャー	花火	1999
シングル	メジャー	カブトムシ	1999
シングル	メジャー	桜の時	2000
シングル	メジャー	ボーイフレンド	2000
シングル	メジャー	初恋	2001
シングル	メジャー	ロージー	2001
シングル	メジャー	おやすみなさい	2001
シングル	メジャー	あなたと握手	2002
シングル	メジャー	今度までには	2002
シングル	メジャー	蝶々結び	2003
シングル	メジャー	アンドロメダ	2003
シングル	メジャー	えりあし	2003
シングル	メジャー	かばん	2004
シングル	メジャー	花風	2004
シングル	メジャー	三国駅	2005
シングル	メジャー	キラキラ	2005
シングル	メジャー	スター	2005
シングル	メジャー	雲は白リンゴは赤	2006
シングル	メジャー	シアワセ	2007
シングル	メジャー	星のない世界／横顔	2007
シングル	メジャー	二人	2008
シングル	メジャー	KissHug	2008
シングル	メジャー	milk／嘆きのキス	2009
シングル	メジャー	戻れない明日	2010
シングル	メジャー	向かいあわせ	2010
シングル	メジャー	恋のスーパーボール／ホーム	2011
シングル	メジャー	ずっと	2011
シングル	メジャー	Loveletter／4月の雨	2013
シングル	メジャー	君の隣	2014
シングル	メジャー	あたしの向こう	2014
シングル	メジャー	夢見る隙間	2015
シングル	メジャー	プラマイ	2015
シングル	メジャー	もっと	2016
シングル	メジャー	恋をしたのは	2016
シングル	メジャー	予告	2017
シングル	メジャー	ストロー	2018
シングル	メジャー	青空	2020
シングル	メジャー	ハニーメモリー	2020
シングル	メジャー	食べた愛／あたしたち	2021
シングル	メジャー	ねがう夜	2022
シングル	メジャー	果てしない二人	2022
シングル	メジャー	星の降る日に	2023
シングル	メジャー	相思相愛	2024
シングル	配信	４月の雨	2013
シングル	配信	愛した日	2019
シングル	配信	ねがう夜	2022
シングル	配信	夏恋のライフ	2022
シングル	配信	あかときリロード	2023
シングル	配信	いつ逢えたら	2023
シングル	配信	ラジオ	2023
シングル	配信	シネマ	2025
