ディスコグラフィ	曲名	トラック番号
astral box	Do you think about me?	1
astral box	How to Love	3
astral box	Power of Love	4
astral box	キスでおこして	2
astral box	光のさすあしもと	5
GIRLIE	イジワルな天使よ 世界を救え!	2
GIRLIE	させないで	1
GIRLIE	ハチミツ	3
GIRLIE	れんげ畑（やんわりと、ボーナストラック）	7
GIRLIE	ロージー	5
GIRLIE	犬になる	4
小さな丸い好日	あした	11
小さな丸い好日	イジワルな天使よ 世界を笑え!	6
小さな丸い好日	オレンジな満月	1
小さな丸い好日	ジェット	2
小さな丸い好日	ナキ・ムシ	10
小さな丸い好日	ボブ	9
小さな丸い好日	夏にマフラー	8
小さな丸い好日	歌姫	4
小さな丸い好日	私生活	3
小さな丸い好日	赤い靴	5
小さな丸い好日	恋堕ちる時	7
桜の木の下	Power of Love	9
桜の木の下	お薬	4
桜の木の下	カブトムシ	10
桜の木の下	愛の病	1
桜の木の下	悪口	7
桜の木の下	花火	2
桜の木の下	桜の時	3
桜の木の下	傷跡	8
桜の木の下	桃色	6
桜の木の下	二人の形	5
桜の木の下	恋愛ジャンキー（えせボーナストラックちっく）	11
夏服	be master of  life	2
夏服	September	7
夏服	アスパラ	9
夏服	ボーイフレンド	10
夏服	ロージー	3
夏服	雨踏むオーバーオール	8
夏服	夏服 <ボーナス・トラック>	12
夏服	終わらない日々	5
夏服	初恋	11
夏服	心日和	6
夏服	飛行機	1
夏服	密かなさよならの仕方	4
秋 そばにいるよ	あなたと握手	9
秋 そばにいるよ	おやすみなさい	6
秋 そばにいるよ	クローゼット	8
秋 そばにいるよ	それだけ	11
秋 そばにいるよ	マント	1
秋 そばにいるよ	海の終わり	3
秋 そばにいるよ	今度までには	7
秋 そばにいるよ	心に乙女	13
秋 そばにいるよ	赤いランプ	2
秋 そばにいるよ	相合傘（汗かきMix）	10
秋 そばにいるよ	鳩になりたい	5
秋 そばにいるよ	木星	12
秋 そばにいるよ	陽と陰	4
暁のラブレター	アンドロメダ	3
暁のラブレター	えりあし	10
暁のラブレター	すべての夜	9
暁のラブレター	ふれていたい	4
暁のラブレター	ライン	7
暁のラブレター	蝶々結び	6
暁のラブレター	天の川	13
暁のラブレター	熱	1
暁のラブレター	白い服黒い服	11
暁のラブレター	彼の落書き	2
暁のラブレター	風招き	12
暁のラブレター	帽子と水着と水平線	8
暁のラブレター	夢のダンス	5
夢の中の真っすぐな道	Smooch!	10
夢の中の真っすぐな道	エナジー	3
夢の中の真っすぐな道	かばん	5
夢の中の真っすぐな道	ずっと近くに	9
夢の中の真っすぐな道	ビードロの夜	7
夢の中の真っすぐな道	愛のしぐさ	8
夢の中の真っすぐな道	花風	11
夢の中の真っすぐな道	三国駅	12
夢の中の真っすぐな道	星物語	13
夢の中の真っすぐな道	青い光	1
夢の中の真っすぐな道	明日もいつも通りに	4
夢の中の真っすぐな道	恋の涙	6
夢の中の真っすぐな道	恋人同士	2
彼女	17の月	6
彼女	あられ	9
彼女	ある日のひまわり	13
彼女	キスする前に	4
彼女	キラキラ	3
彼女	シャッター	1
彼女	スター	10
彼女	その目に映して	7
彼女	ひとりよがり	8
彼女	雲は白リンゴは赤	12
彼女	気付かれないように	2
彼女	深海冷蔵庫	5
彼女	瞳	14
彼女	恋ひ明かす	11
秘密	You & Me both	1
秘密	ウミウサギ	12
秘密	キョウモハレ	4
秘密	シアワセ	11
秘密	ハルとアキ	7
秘密	横顔	5
秘密	学校	3
秘密	星のない世界	10
秘密	星電話	8
秘密	二人	2
秘密	秘密	6
秘密	約束	13
秘密	恋道	9
BABY	beat	1
BABY	KissHug	4
BABY	milk	3
BABY	Yellow	10
BABY	あの子の夢	12
BABY	トンネル	14
BABY	ヒカリ	13
BABY	より道	8
BABY	リズム	6
BABY	夏が帰る	5
BABY	鏡	2
BABY	指先	9
BABY	嘆きのキス	7
BABY	戻れない明日	11
時のシルエット	Aka	1
時のシルエット	くちびる	2
時のシルエット	クラスメイト	9
時のシルエット	ずっと	4
時のシルエット	ドレミ	11
時のシルエット	ホーム	12
時のシルエット	雨は止む	10
時のシルエット	運命	7
時のシルエット	向かいあわせ	5
時のシルエット	自転車	13
時のシルエット	白い道	3
